Date,Open,High,Low,Close,Adj Close,Volume
9/9/2021,131.787766,132.848953,131.510513,131.682602,125.28447,3669682
9/10/2021,132.715103,133.240921,130.975143,130.994263,124.62957,4157955
9/13/2021,132.313583,132.877625,131.462708,132.07457,125.657394,4334729
9/14/2021,132.313583,132.476105,129.388138,130.229446,123.901909,4659198
9/15/2021,130.229446,131.73996,129.703629,131.166351,124.793289,3403579
9/16/2021,131.242828,131.883362,129.741867,130.430206,124.092918,2765624
9/17/2021,129.780121,129.942642,129.110901,129.28299,123.001442,5890340
9/20/2021,128.011475,129.235184,126.940727,128.403442,122.164627,4990152
9/21/2021,129.168259,129.684509,127.093689,127.122368,120.945801,4261927
9/22/2021,127.839386,129.416824,127.60038,128.709366,122.455688,3767901
9/23/2021,129.302109,131.376678,129.091782,130.71701,124.365784,3151807
9/24/2021,131.00383,132.39006,130.736145,131.443588,125.057068,3100762
9/27/2021,131.892929,132.954117,131.434036,132.466537,126.030304,3459017
9/28/2021,133.049713,133.546844,131.175903,131.424469,125.038872,4513072
9/29/2021,131.673035,133.776291,130.439774,133.05928,126.594254,3947499
9/30/2021,133.843216,134.388138,132.40918,132.820267,126.366844,6090230
10/1/2021,134.79924,137.638626,134.196945,137.017212,130.359863,6907889
10/4/2021,136.462708,139.579346,136.089859,137.772461,131.07843,7689251
10/5/2021,138.384323,138.623322,136.367111,136.854691,130.205231,7297524
10/6/2021,136.214142,137.065002,134.694077,136.099426,129.486694,5573506
10/7/2021,136.453156,137.093689,135.305923,135.573608,128.98642,3999695
10/8/2021,135.573608,137.332703,134.847031,136.9216,130.268921,3902940
10/11/2021,137.189301,137.74379,136.137665,136.166351,129.550354,2921792
10/12/2021,135.956024,136.042068,134.13002,134.292542,127.767593,3293436
10/13/2021,134.340347,135.191208,133.518158,134.569794,128.031357,3013003
10/14/2021,134.837479,137.59082,134.808792,137.084137,130.423553,4410668
10/15/2021,137.084137,138.479919,136.510513,138.250473,131.533234,3371049
10/18/2021,137.667297,138.565964,135.525818,136.061188,129.450287,6437189
10/19/2021,134.875717,136.653915,134.340347,135.736145,129.141052,4539117
10/20/2021,135.449326,135.946457,134.512421,135.659653,129.068283,6474008
10/21/2021,127.638626,127.839386,122.466537,122.686424,116.725388,32913959
10/22/2021,122.418739,124.521988,121.042068,122.25621,116.316078,12114981
10/25/2021,121.921608,122.992355,121.357552,122.026772,116.097786,6667204
10/26/2021,121.912048,122.657745,121.185471,121.5392,115.633904,8912861
10/27/2021,121.835564,122.25621,119.512428,119.66539,113.851143,7294176
10/28/2021,119.66539,120.755257,119.13958,120.305923,114.460548,6802138
10/29/2021,119.913956,120.764816,119.416824,119.598473,113.787468,6188973
11/1/2021,119.550667,120.755257,118.393883,120.726578,114.860764,6177153
11/2/2021,120.745697,121.577438,119.416824,120.630974,114.769806,4722062
11/3/2021,120.67878,121.692162,120.152962,121.5392,115.633904,5670784
11/4/2021,123.050003,123.339996,119.900002,120.849998,114.978188,7208700
11/5/2021,121.43,123.769997,121.43,123.610001,117.604088,6790500
11/8/2021,123.989998,124.779999,123.529999,124.540001,118.488899,5625300
11/9/2021,122.559998,122.900002,120.260002,120.849998,116.512482,7236600
11/10/2021,121,122.43,119.93,120.220001,115.90509,6270300
11/11/2021,120.900002,121.790001,120.080002,120.269997,115.953293,4643300
11/12/2021,120,120.639999,118.779999,118.959999,114.690315,5418300
